XZI Gare_de_Lorraine_TGV Metz–Nancy France
BQW Balgo_Hill_Airport Balgo_Hill,_Western_Australia Australia
BBL Ballera_Airport Ballera,_Queensland Australia
BNK Ballina_Airport Ballina,_New_South_Wales Australia
BZD Balranald_Airport Balranald,_New_South_Wales Australia
ABM Bamaga_Injinoo_Airport Bamaga,_Queensland Australia
BYX Baniyala_Airport Baniyala,_Northern_Territory Australia
BWU Bankstown_Airport Bankstown,_New_South_Wales Australia
BCI Barcaldine_Airport Barcaldine,_Queensland Australia
BYP Barimunya_Airport Barimunya,_Western_Australia Australia
BKP Barkly_Downs_Airport Barkly_Downs,_Queensland Australia
BWB Barrow_Island_Airport Barrow_Island,_Western_Australia Australia
BVW Batavia_Downs_Airport Batavia_Downs,_Queensland Australia
BRT Bathurst_Island_Airport Bathurst_Island,_Northern_Territory Australia
BHS Bathurst_Airport Bathurst,_New_South_Wales Australia
BEE Beagle_Bay_Airport Beagle_Bay,_Western_Australia Australia
BDW Bedford_Downs_Airport Bedford_Downs,_Western_Australia Australia
BEU Bedourie_Airport Bedourie,_Queensland Australia
BLN Benalla_Airport Benalla,_Victoria Australia
BXG Bendigo_Airport Bendigo,_Victoria Australia
BTX Betoota_Airport Betoota,_Queensland Australia
BVZ Beverley_Springs_Airport Beverley_Springs,_Western_Australia Australia
BBE Big_Bell_Airport Big_Bell,_Western_Australia Australia
BIW Billiluna_Airport Billiluna,_Western_Australia Australia
BVI Birdsville_Airport Birdsville,_Queensland Australia
BZP Bizant_Airport Bizant,_Queensland Australia
BKQ Blackall_Airport Blackall,_Queensland Australia
BLT Blackwater_Airport Blackwater,_Queensland Australia
BFC Bloomfield_Airport Bloomfield,_Queensland Australia
GIC Boigu_Island_Airport Boigu_Island,_Queensland Australia
BLS Bollon_Airport Bollon,_Queensland Australia
BCK Bolwarra_Airport Bolwarra,_Queensland Australia
BOX Borroloola_Airport Borroloola,_Northern_Territory Australia
BQL Boulia_Airport Boulia,_Queensland Australia
BRK Bourke_Airport Bourke,_New_South_Wales Australia
ZBO Bowen_Airport Bowen,_Queensland Australia
BMP Brampton_Island_Airport Brampton_Island,_Queensland Australia
BWQ Brewarrina_Airport Brewarrina,_New_South_Wales Australia
BRJ Bright_Airport Bright,_Victoria Australia
BHT Brighton_Downs_Airport Brighton_Downs,_Queensland Australia
BNE Brisbane_Airport Brisbane,_Queensland Australia
BHQ Broken_Hill_Airport Broken_Hill,_New_South_Wales Australia
BME Broome_International_Airport Broome,_Western_Australia Australia
BTD Brunette_Downs_Airport Brunette_Downs,_Northern_Territory Australia
BIP Bulimba_Airport Bulimba,_Queensland Australia
BUY Bunbury_Airport Bunbury,_Western_Australia Australia
BDB Bundaberg_Airport Bundaberg,_Queensland Australia
BUC Burketown_Airport Burketown,_Queensland Australia
BWT Burnie_Airport Burnie,_Tasmania Australia
BQB Busselton_Regional_Airport Busselton,_Western_Australia Australia
CGV Caiguna_Airport Caiguna,_Western_Australia Australia
CNS Cairns_International_Airport Cairns,_Queensland Australia
CUD Caloundra_Airport Caloundra,_Queensland Australia
CDU Camden_Airport Camden,_New_South_Wales Australia
CFI Camfield_Airport Camfield,_Northern_Territory Australia
CML Camooweal_Airport Camooweal,_Queensland Australia
CBR Canberra_International_Airport Canberra Australia
CBY Canobie_Airport Canobie,_Queensland Australia
CBI Cape_Barren_Island_Airport Cape_Barren_Island,_Tasmania Australia
CQP Cape_Flattery_Airport Cape_Flattery,_Queensland Australia
CRY Carlton_Hill_Airport Carlton_Hill,_Western_Australia Australia
CVQ Carnarvon_Airport Carnarvon,_Western_Australia Australia
CFP Carpentaria_Downs_Airport Carpentaria_Downs,_Queensland Australia
CSI Casino_Airport Casino,_New_South_Wales Australia
CED Ceduna_Airport Ceduna,_South_Australia Australia
CES Cessnock_Airport Cessnock,_New_South_Wales Australia
CTL Charleville_Airport Charleville,_Queensland Australia
CXT Charters_Towers_Airport Charters_Towers,_Queensland Australia
CBC Cherrabun_Airport Cherrabun,_Western_Australia Australia
CRH Cherribah_Airport Cherribah,_Queensland Australia
LLG Chillagoe_Airport Chillagoe,_Queensland Australia
CCL Chinchilla_Airport Chinchilla,_Queensland Australia
CXQ Christmas_Creek_Airport Christmas_Creek_Station,_Western_Australia Australia
XCH Christmas_Island_Airport Christmas_Island Australia
CMQ Clermont_Airport Clermont,_Queensland Australia
CVC Cleve_Airport Cleve,_South_Australia Australia
CFH Clifton_Hills_Airport Clifton_Hills,_South_Australia Australia
CNJ Cloncurry_Airport Cloncurry,_Queensland Australia
KFE Dave_Forest_Airport Cloudbreak/Western_Australia Australia
CZY Cluny_Airport Cluny,_Queensland Australia
CAZ Cobar_Airport Cobar,_New_South_Wales Australia
CNC Coconut_Island_Airport Coconut_Island_(Poruma_Island),_Queensland Australia
CCK Cocos_Islands_Airport Cocos_Islands Australia
CUQ Coen_Airport Coen,_Queensland Australia
CFS Coffs_Harbour_Airport Coffs_Harbour,_New_South_Wales Australia
XCO Colac_Airport Colac,_Victoria Australia
CRB Collarenebri_Airport Collarenebri,_New_South_Wales Australia
CIE Collie_Airport Collie,_Western_Australia Australia
KCE Collinsville_Airport Collinsville,_Queensland Australia
CBX Condobolin_Airport Condobolin,_New_South_Wales Australia
CPD Coober_Pedy_Airport Coober_Pedy,_South_Australia Australia
CDA Cooinda_Airport Cooinda,_Northern_Territory Australia
CTN Cooktown_Airport Cooktown,_Queensland Australia
CLH Coolah_Airport Coolah,_New_South_Wales Australia
OOL Gold_Coast_Airport Coolangatta,_Queensland Australia
COY Coolawanyah_Station_Airport Coolawanyah_Station,_Western_Australia Australia
COB Coolibah_Airport Coolibah,_Northern_Territory Australia
COJ Coonabarabran_Airport Coonabarabran,_New_South_Wales Australia
CNB Coonamble_Airport Coonamble,_New_South_Wales Australia
CJF Coondewanna_Airport Coondewanna,_Western_Australia Australia
CRJ Coorabie_Airport Coorabie,_South_Australia Australia
CMD Cootamundra_Airport Cootamundra,_New_South_Wales Australia
CWW Corowa_Airport Corowa,_New_South_Wales Australia
CYG Corryong_Airport Corryong,_Victoria Australia
CWR Cowarie_Airport Cowarie,_South_Australia Australia
CCW Cowell_Airport Cowell,_South_Australia Australia
CWT Cowra_Airport Cowra,_New_South_Wales Australia
CSD Cresswell_Downs_Airport Cresswell_Downs,_Northern_Territory Australia
CKI Croker_Island_Airport Croker_Island,_Northern_Territory Australia
CDQ Croydon_Airport Croydon,_Queensland Australia
CUG Cudal_Airport Cudal,_New_South_Wales Australia
CUY Cue_Airport Cue,_Western_Australia Australia
CMA Cunnamulla_Airport Cunnamulla,_Queensland Australia
KNS King_Island_Airport Currie,_Tasmania Australia
KFG Kalkurung_Airport Daguragu_/_Kalkaringi,_Northern_Territory Australia
DJR Dajarra_Airport Dajarra,_Queensland Australia
DBY Dalby_Airport Dalby,_Queensland Australia
DVR Daly_River_Airport Daly_River,_Northern_Territory Australia
DYW Daly_Waters_Airport Daly_Waters,_Northern_Territory Australia
DRW Darwin_International_Airport Darwin,_Northern_Territory Australia
DAJ Dauan_Airport Dauan,_Queensland Australia
DVP Davenport_Downs_Airport Davenport_Downs,_Queensland Australia
DDI Daydream_Island_Resort_Airport Daydream_Island_Resort,_Queensland Australia
DLV Delissaville_Airport Delissaville,_Northern_Territory Australia
DDN Delta_Downs_Airport Delta_Downs,_Queensland Australia
DNM Denham_Airport Denham,_Western_Australia Australia
DNQ Deniliquin_Airport Deniliquin,_New_South_Wales Australia
DRB Derby_Airport Derby,_Western_Australia Australia
DPO Devonport_Airport Devonport,_Tasmania Australia
DYM Diamantina_Lakes_Airport Diamantina_Lakes,_Queensland Australia
DRN Dirranbandi_Airport Dirranbandi,_Queensland Australia
DXD Dixie_Airport Dixie,_Queensland Australia
DKV Docker_River_Airport Docker_River,_Northern_Territory Australia
DOX Dongara_Airport Dongara,_Western_Australia Australia
DMD Doomadgee_Mission_Airport Doomadgee_Mission,_Queensland Australia
DRD Dorunda_Airport Dorunda,_Queensland Australia
DFP Drumduff_Airport Drumduff,_Queensland Australia
DBO Dubbo_Airport Dubbo,_New_South_Wales Australia
DLK Dulkaninna_Airport Dulkaninna,_South_Australia Australia
DNB Dunbar_Airport Dunbar,_Queensland Australia
DKI Dunk_Island_Airport Dunk_Island,_Queensland Australia
DHD Durham_Downs_Airport Durham_Downs,_Queensland Australia
DRR Durrie_Airport Durrie,_Queensland Australia
DYA Dysart_Airport Dysart,_Queensland Australia
ECH Echuca_Airport Echuca,_Victoria Australia
EDR Edward_River_Airport Edward_River,_Queensland Australia
EIH Einasleigh_Airport Einasleigh,_Queensland Australia
ELC Elcho_Island_Airport Elcho_Island,_Northern_Territory Australia
EKD Elkedra_Airport Elkedra,_Northern_Territory Australia
ERQ Elrose_Airport Eloise_Copper_Mine,_Queensland Australia
EMD Emerald_Airport Emerald,_Queensland Australia
ENB Eneabba_Airport Eneabba,_Western_Australia Australia
EDD Erldunda_Airport Erldunda,_Northern_Territory Australia
EPR Esperance_Airport Esperance Australia
ETD Etadunna_Airport Etadunna,_South_Australia Australia
EUC Eucla_Airport Eucla,_Western_Australia Australia
EVD Eva_Downs_Airport Eva_Downs,_Northern_Territory Australia
EVH Evans_Head_Memorial_Aerodrome Evans_Head,_New_South_Wales Australia
LEA Learmonth_Airport_(RAAF_Learmonth) Exmouth,_Western_Australia Australia
EXM Exmouth_Airport Exmouth,_Western_Australia Australia
FLC Falls_Creek_Airport Falls_Creek,_Victoria Australia
FIK Finke_Airport Finke,_Northern_Territory Australia
FLY Finley_Airport Finley,_New_South_Wales Australia
FIZ Fitzroy_Crossing_Airport Fitzroy_Crossing,_Western_Australia Australia
FLS Flinders_Island_Airport Flinders_Island,_Tasmania Australia
FRB Forbes_Airport Forbes,_New_South_Wales Australia
FOS Forrest_Airport Forrest,_Western_Australia Australia
FSL Fossil_Downs_Airport Fossil_Downs,_Western_Australia Australia
OKB Orchid_Beach Fraser_Island,_Queensland Australia
JFM Fremantle_Heliport Fremantle,_Western_Australia Australia
GBP Gamboola_Airport Gamboola,_Queensland Australia
LEL Lake_Evella_Airport Gapuwiyak_(Lake_Evella),_Northern_Territory Australia
GSC Gascoyne_Junction_Airport Gascoyne_Junction,_Western_Australia Australia
GAH Gayndah_Airport Gayndah,_Queensland Australia
GEE George_Town_Aerodrome George_Town,_Tasmania Australia
GTT Georgetown_Airport Georgetown,_Queensland Australia
GET Geraldton_Airport Geraldton,_Western_Australia Australia
GBV Gibb_River_Airport Gibb_River,_Western_Australia Australia
GLT Gladstone_Airport Gladstone,_Queensland Australia
GLI Glen_Innes_Airport Glen_Innes,_New_South_Wales Australia
GLG Glengyle_Airport Glengyle,_Queensland Australia
GLM Glenormiston_Airport Glenormiston,_Queensland Australia
GLY Goldsworthy_Airport Goldsworthy,_Western_Australia Australia
GOO Goondiwindi_Airport Goondiwindi,_Queensland Australia
GDD Gordon_Downs_Airport Gordon_Downs,_Western_Australia Australia
GOS Gosford_Airport Gosford,_New_South_Wales Australia
GBL Goulburn_Island_Airport Goulburn_Island,_Northern_Territory Australia
